City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Adrar,MR,77.18,overcast clouds,20.5022,-10.0711,
339,Kuching,MY,75.42,few clouds,1.55,110.3333,
340,Pando,UY,82.98,clear sky,-34.7167,-55.95,
341,Kuruman,ZA,81.99,overcast clouds,-27.4524,23.4325,
342,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,
345,Sinnamary,GF,75.27,light rain,5.3833,-52.95,
348,Santa Maria,BR,88.9,clear sky,-29.6842,-53.8069,
356,Buala,SB,78.73,moderate rain,-8.145,159.5921,
360,Champerico,GT,86.76,few clouds,14.3,-91.9167,
361,Perbaungan,ID,77.11,overcast clouds,3.5679,98.956,
362,Eirunepe,BR,84.72,broken clouds,-6.6603,-69.8736,
363,Bengkulu,ID,78.04,broken clouds,-3.8004,102.2655,
370,Cap Malheureux,MU,82.47,scattered clouds,-19.9842,57.6142,
371,Cacu,BR,86.92,few clouds,-18.5567,-51.1308,
374,Amapa,BR,80.46,broken clouds,1.0,-52.0,
376,Coahuayana,MX,78.66,clear sky,18.7333,-103.6833,
379,Fayaoue,NC,80.55,few clouds,-20.65,166.5333,
381,Acarau,BR,87.58,overcast clouds,-2.8856,-40.12,
385,Mogadishu,SO,78.49,clear sky,2.0371,45.3438,
386,Bac Lieu,VN,80.01,clear sky,9.285,105.7244,
388,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,
401,Richards Bay,ZA,77.81,few clouds,-28.783,32.0377,
405,Imbituba,BR,84.09,clear sky,-28.24,-48.6703,
408,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,
412,Kalmunai,LK,76.8,broken clouds,7.4167,81.8167,
414,Saint-Pierre,RE,82.08,few clouds,-21.3393,55.4781,
420,Jibuti,DJ,76.42,clear sky,11.5,42.5,
421,Vao,NC,77.56,overcast clouds,-22.6667,167.4833,
422,Boyuibe,BO,87.35,few clouds,-20.4167,-63.2833,
423,Fare,PF,80.73,broken clouds,-16.7,-151.0167,
427,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,
431,Vanimo,PG,77.2,overcast clouds,-2.6741,141.3028,
435,Thinadhoo,MV,82.36,overcast clouds,0.5333,72.9333,
436,Labranzagrande,CO,75.69,overcast clouds,5.5622,-72.575,
437,Kasangulu,CD,86.2,overcast clouds,-4.5911,15.1708,
445,Talara,PE,81.36,scattered clouds,-4.5772,-81.2719,
446,Carutapera,BR,80.29,overcast clouds,-1.195,-46.02,
451,Pekan,MY,77.77,overcast clouds,3.4836,103.3996,
452,Hobyo,SO,77.81,clear sky,5.3505,48.5268,
454,Pampierstad,ZA,86.18,overcast clouds,-27.7832,24.6877,
458,Caravelas,BR,87.58,scattered clouds,-17.7125,-39.2481,
461,Belmonte,BR,86.5,broken clouds,-15.8631,-38.8828,
465,Paita,PE,81.16,broken clouds,-5.0892,-81.1144,
470,Lorengau,PG,80.13,overcast clouds,-2.0226,147.2712,
477,Quatre Cocos,MU,82.09,scattered clouds,-20.2078,57.7625,
479,Cockburn Town,TC,77.63,broken clouds,21.4612,-71.1419,
481,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,
482,Bako,ET,79.95,overcast clouds,5.7833,36.5667,
487,Bilma,NE,86.52,clear sky,18.6853,12.9164,
489,Aruppukkottai,IN,82.83,overcast clouds,9.5167,78.1,
490,Mahbubabad,IN,78.06,clear sky,17.6167,80.0167,
491,Porto Novo,BJ,89.37,broken clouds,6.4965,2.6036,
492,Bubaque,GW,82.4,clear sky,11.2833,-15.8333,
496,Bandrele,YT,82.15,clear sky,-12.9067,45.1914,
504,Salinopolis,BR,79.54,overcast clouds,-0.6136,-47.3561,
506,Eyl,SO,76.64,overcast clouds,7.9803,49.8164,
508,De Aar,ZA,76.95,light rain,-30.6497,24.0123,
510,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,
514,Bajil,YE,84.16,clear sky,15.0584,43.2851,
516,Dagana,MR,87.17,overcast clouds,16.5165,-15.5068,
525,Cabedelo,BR,88.47,clear sky,-6.9811,-34.8339,
527,Sabya,SA,81.48,scattered clouds,17.1495,42.6254,
532,Luganville,VU,77.41,overcast clouds,-15.5333,167.1667,
533,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,
534,Maldonado,UY,87.19,clear sky,-34.6667,-54.9167,
535,San Rafael,AR,89.89,clear sky,-34.6177,-68.3301,
537,Bathsheba,BB,80.67,few clouds,13.2167,-59.5167,
540,Buin,CL,75.06,clear sky,-33.7333,-70.75,
541,Pyapon,MM,76.33,clear sky,16.2833,95.6833,
546,Langsa,ID,75.02,overcast clouds,4.4683,97.9683,
548,Porto Walter,BR,79.41,overcast clouds,-8.2686,-72.7439,
554,Tautira,PF,77.02,light rain,-17.7333,-149.15,
555,Biak,ID,76.03,broken clouds,-0.9131,122.8766,
562,Puerto Leguizamo,CO,82.96,overcast clouds,-0.1934,-74.7819,
563,Shrigonda,IN,78.84,clear sky,18.6167,74.6833,
570,Gulu,UG,88.47,overcast clouds,2.7746,32.299,
572,Harper,LR,83.19,moderate rain,4.375,-7.7169,
576,Itambe,BR,88.97,few clouds,-15.245,-40.6244,
578,Acari,PE,78.57,overcast clouds,-15.4311,-74.6158,
579,Atar,MR,82.26,overcast clouds,20.5169,-13.0499,
584,Kathu,TH,82.62,light rain,7.9178,98.3332,
589,Geraldton,AU,81.01,clear sky,-28.7667,114.6,
597,Hambantota,LK,78.71,broken clouds,6.1241,81.1185,
598,Gizo,SB,81.75,moderate rain,-8.103,156.8419,
599,Garowe,SO,82.71,broken clouds,8.4054,48.4845,
600,Bontang,ID,78.98,few clouds,0.1333,117.5,
608,Saltpond,GH,84.42,scattered clouds,5.2091,-1.0606,
612,Sao Jose Da Coroa Grande,BR,86.54,clear sky,-8.8978,-35.1478,
614,Bodden Town,KY,80.6,broken clouds,19.2833,-81.25,
624,Ngudu,TZ,78.48,broken clouds,-2.9667,33.3333,
625,Lethem,GY,89.22,overcast clouds,3.3803,-59.7968,
626,Sao Tome,ST,81.95,light rain,0.3365,6.7273,
633,Nam Som,TH,78.1,clear sky,17.7704,102.1895,
634,El Tigre,VE,84.88,overcast clouds,8.8875,-64.2454,
636,Inirida,CO,80.56,overcast clouds,3.8653,-67.9239,
637,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,
644,Sabang,ID,78.85,light rain,5.8933,95.3214,
646,Mahibadhoo,MV,81.84,overcast clouds,3.7833,72.9667,
653,Mormugao,IN,76.51,clear sky,15.4,73.8,
654,Diamantino,BR,76.15,light rain,-14.4086,-56.4461,
661,Tucuman,AR,84.2,clear sky,-26.8241,-65.2226,
664,Santa Marta,CO,89.35,broken clouds,11.2408,-74.199,
668,Matara,LK,76.93,broken clouds,5.9485,80.5353,
670,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,
673,Paracuru,BR,84.22,few clouds,-3.41,-39.0306,
679,Tessalit,ML,80.71,clear sky,20.1986,1.0114,
681,Le Port,RE,82.4,light rain,-20.9373,55.2919,
682,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,
683,Mbanza-Ngungu,CD,78.66,light rain,-5.25,14.8667,
685,Araouane,ML,79.16,clear sky,18.9048,-3.5265,
687,Kismayo,SO,78.8,clear sky,-0.3582,42.5454,
688,Sawakin,SD,75.27,scattered clouds,19.1059,37.3321,
